TypeAnomaly,Severity,City,DetectionDateTime
Excessive Precipitation,Medium,Arco,1990-03-12T14:42:27
Reduced Visibility,Medium,Povo,1990-03-12T06:34:24
Too Cold Temperature,Critical,Rovereto,1990-03-13T21:10:28
Prolonged Low Precipitation,Medium,Telve,1990-03-13T02:48:46
Solid Precipitation,Medium,Mezzana,1990-03-14T16:02:37
Too Cold Temperature,Low,Lavarone,1990-03-15T08:53:36
Too Hot Temperature,High,Povo,1990-03-16T15:18:38
Too Cold Temperature,Critical,Predazzo,1990-03-16T12:56:14
Excessive Wind,Critical,Telve,1990-03-17T14:31:19
Excessive Precipitation,Medium,Tenno,1990-03-17T10:15:33
Excessive Wind,Low,Trento,1990-03-18T23:19:58
Prolonged Low Precipitation,High,Trento,1990-03-18T20:23:17
Excessive Wind,Low,Rovereto,1990-03-19T11:35:58
Solid Precipitation,Low,Cavalese,1990-03-19T19:15:52
Solid Precipitation,Medium,Arco,1990-03-19T15:26:00
Excessive Wind,Low,Rovereto,1990-03-20T03:20:41
Reduced Visibility,Critical,Mezzana,1990-03-20T15:08:37
Excessive Precipitation,Medium,Telve,1990-03-20T03:59:08
Excessive Precipitation,Medium,Rovereto,1990-03-22T17:02:43
Reduced Visibility,High,Predazzo,1990-03-22T05:20:50
Solid Precipitation,Medium,Trento,1990-03-23T17:47:13
Excessive Wind,Medium,Rovereto,1990-03-23T02:59:28
Solid Precipitation,Medium,Cavalese,1990-03-23T21:39:31
Reduced Visibility,High,Arco,1990-03-24T03:26:27
Excessive Wind,High,Telve,1990-03-28T19:41:42
Reduced Visibility,Medium,Arco,1990-03-28T15:46:39
Too Cold Temperature,Medium,Rovereto,1990-03-28T17:20:41
Excessive Wind,High,Lavarone,1990-03-29T14:22:12
Too Hot Temperature,Medium,Arco,1990-03-29T09:16:43
Too Hot Temperature,Critical,Tenno,1990-03-30T03:59:33
Excessive Wind,High,Cavalese,1990-03-30T02:38:49
Excessive Precipitation,Critical,Telve,1990-03-31T04:16:48
Too Cold Temperature,Medium,Rovereto,1990-04-01T11:47:58
Excessive Precipitation,High,Predazzo,1990-04-01T20:14:15
Excessive Precipitation,Critical,Povo,1990-04-01T14:06:20
Too Hot Temperature,High,Povo,1990-04-02T11:57:23
Reduced Visibility,High,Povo,1990-04-02T12:08:19
Excessive Precipitation,Medium,Mezzana,1990-04-02T22:28:25
Excessive Precipitation,Low,Lavarone,1990-04-03T07:47:38
Solid Precipitation,Critical,Povo,1990-04-04T06:31:49
Reduced Visibility,Medium,Predazzo,1990-04-04T17:20:29
Too Cold Temperature,Low,Telve,1990-04-07T22:00:34
Solid Precipitation,Low,Predazzo,1990-04-07T10:40:27
Solid Precipitation,Critical,Rovereto,1990-04-07T00:15:26
Excessive Precipitation,Medium,Cavalese,1990-04-08T02:11:12
Solid Precipitation,High,Povo,1990-04-08T19:50:24
Excessive Precipitation,High,Povo,1990-04-09T01:51:44
Too Cold Temperature,Critical,Rovereto,1990-04-09T15:49:54
Solid Precipitation,Medium,Tenno,1990-04-09T12:46:26
Excessive Precipitation,Low,Povo,1990-04-10T22:27:42
Too Hot Temperature,Low,Rovereto,1990-04-10T18:31:28
Solid Precipitation,Medium,Tenno,1990-04-10T07:25:12
Too Cold Temperature,Medium,Arco,1990-04-12T06:58:38
Too Hot Temperature,Critical,Arco,1990-04-12T23:29:31
Too Hot Temperature,Medium,Povo,1990-04-12T20:45:38
Excessive Precipitation,Low,Telve,1990-04-14T07:40:43
Too Hot Temperature,Critical,Arco,1990-04-14T01:30:50
Excessive Wind,High,Povo,1990-04-15T09:23:32
Solid Precipitation,Low,Rovereto,1990-04-15T03:33:10
Too Cold Temperature,Low,Mezzana,1990-04-15T18:34:30
Too Cold Temperature,Critical,Lavarone,1990-04-16T03:06:38
Too Cold Temperature,Medium,Cavalese,1990-04-16T05:25:43
Reduced Visibility,High,Trento,1990-04-17T16:39:35
Too Hot Temperature,Critical,Predazzo,1990-04-17T12:45:04
Solid Precipitation,Low,Predazzo,1990-04-17T22:50:10
Prolonged Low Precipitation,High,Mezzana,1990-04-18T02:08:06
Solid Precipitation,Medium,Cavalese,1990-04-19T17:55:09
Solid Precipitation,Medium,Predazzo,1990-04-19T17:24:56
Reduced Visibility,Low,Rovereto,1990-04-20T00:28:32
Prolonged Low Precipitation,Low,Trento,1990-04-20T06:34:17
Excessive Wind,Medium,Cavalese,1990-04-20T00:19:16
Prolonged Low Precipitation,Critical,Lavarone,1990-04-21T03:55:49
Too Hot Temperature,Low,Cavalese,1990-04-21T12:58:23
Solid Precipitation,Medium,Tenno,1990-04-22T11:05:53
Prolonged Low Precipitation,High,Povo,1990-04-23T12:00:53
Too Hot Temperature,Critical,Lavarone,1990-04-23T02:01:41
Excessive Precipitation,Medium,Rovereto,1990-04-23T23:43:58
Excessive Wind,Medium,Trento,1990-04-24T06:21:41
Excessive Wind,Low,Cavalese,1990-04-24T19:00:41
Solid Precipitation,Low,Mezzana,1990-04-24T07:20:01
Reduced Visibility,High,Trento,1990-04-25T19:48:14
Reduced Visibility,Critical,Tenno,1990-04-25T13:14:08
Prolonged Low Precipitation,High,Povo,1990-04-25T05:31:54
Reduced Visibility,Medium,Telve,1990-04-28T18:13:34
Prolonged Low Precipitation,Critical,Cavalese,1990-04-28T21:22:49
Too Cold Temperature,Medium,Mezzana,1990-04-29T14:41:36
Too Cold Temperature,Medium,Lavarone,1990-04-29T13:37:05
Excessive Wind,Critical,Trento,1990-04-29T20:20:56
Too Cold Temperature,Critical,Lavarone,1990-04-30T08:15:32
Too Hot Temperature,Critical,Predazzo,1990-04-30T20:58:08
Excessive Wind,Low,Rovereto,1990-04-30T23:22:29
Prolonged Low Precipitation,Medium,Cavalese,1990-05-02T16:49:54
Reduced Visibility,Medium,Telve,1990-05-02T05:13:19
Too Hot Temperature,Low,Tenno,1990-05-03T17:09:56
Excessive Precipitation,High,Arco,1990-05-04T00:32:44
Prolonged Low Precipitation,Medium,Povo,1990-05-04T16:35:45
Excessive Wind,Critical,Predazzo,1990-05-04T18:05:32
Prolonged Low Precipitation,Low,Tenno,1990-05-05T15:11:55
Solid Precipitation,Low,Arco,1990-05-05T09:02:20
Excessive Precipitation,Medium,Lavarone,1990-05-05T21:31:07
Too Hot Temperature,Medium,Tenno,1990-05-06T08:18:00
Excessive Wind,Critical,Lavarone,1990-05-08T16:26:05
Excessive Wind,Critical,Predazzo,1990-05-08T06:01:48
Excessive Wind,Medium,Lavarone,1990-05-08T10:03:09
Excessive Precipitation,Medium,Povo,1990-05-09T20:42:57
Excessive Precipitation,Low,Cavalese,1990-05-09T23:19:32
Excessive Wind,Medium,Cavalese,1990-05-11T02:29:21
Excessive Wind,Medium,Predazzo,1990-05-11T00:41:01
Too Cold Temperature,Critical,Trento,1990-05-12T10:14:56
Solid Precipitation,Critical,Mezzana,1990-05-14T08:40:06
Solid Precipitation,Critical,Povo,1990-05-14T19:05:04
Excessive Wind,Critical,Rovereto,1990-05-14T09:03:11
Excessive Precipitation,High,Trento,1990-05-15T15:32:09
Too Cold Temperature,Critical,Rovereto,1990-05-15T04:35:07
Excessive Precipitation,Critical,Telve,1990-05-15T19:55:33
Prolonged Low Precipitation,High,Arco,1990-05-16T10:01:37
Too Hot Temperature,Medium,Tenno,1990-05-16T01:52:19
Reduced Visibility,Critical,Predazzo,1990-05-16T00:43:46
Excessive Precipitation,Medium,Trento,1990-05-18T07:58:36
Too Cold Temperature,Critical,Tenno,1990-05-18T11:47:53
Too Cold Temperature,Medium,Mezzana,1990-05-19T03:16:49
Reduced Visibility,Low,Tenno,1990-05-19T06:47:45
Excessive Precipitation,Medium,Telve,1990-05-19T07:26:58
Excessive Precipitation,Low,Povo,1990-05-20T05:28:07
Reduced Visibility,High,Telve,1990-05-21T10:58:28
Excessive Wind,High,Lavarone,1990-05-21T13:43:42
Prolonged Low Precipitation,Low,Rovereto,1990-05-22T19:04:07
Excessive Precipitation,Medium,Mezzana,1990-05-23T06:07:54
Prolonged Low Precipitation,Medium,Mezzana,1990-05-24T00:59:52
Too Cold Temperature,High,Povo,1990-05-25T09:01:31
Too Cold Temperature,Medium,Lavarone,1990-05-27T12:14:46
Too Hot Temperature,Low,Lavarone,1990-05-27T09:39:18
Solid Precipitation,High,Tenno,1990-05-29T13:10:47
Too Cold Temperature,Low,Rovereto,1990-05-30T08:45:34
Excessive Wind,Critical,Telve,1990-05-31T22:49:26
Too Hot Temperature,Low,Trento,1990-06-01T15:41:14
Solid Precipitation,High,Telve,1990-06-01T10:00:50
Excessive Wind,High,Mezzana,1990-06-01T03:13:07
Reduced Visibility,High,Mezzana,1990-06-03T08:55:29
Excessive Precipitation,Low,Arco,1990-06-04T01:03:04
Solid Precipitation,Critical,Mezzana,1990-06-04T12:02:55
Reduced Visibility,Low,Trento,1990-06-05T14:48:17
Too Hot Temperature,Low,Povo,1990-06-05T10:39:46
Excessive Wind,Critical,Trento,1990-06-05T09:56:32
Reduced Visibility,Critical,Rovereto,1990-06-06T11:03:15
Too Hot Temperature,Low,Rovereto,1990-06-06T05:56:53
Too Cold Temperature,Medium,Lavarone,1990-06-09T12:31:03
Too Hot Temperature,Low,Telve,1990-06-09T10:20:52
Reduced Visibility,Medium,Cavalese,1990-06-09T08:55:17
Prolonged Low Precipitation,High,Cavalese,1990-06-10T18:53:36
Too Hot Temperature,Low,Telve,1990-06-10T21:16:56
Excessive Wind,Medium,Mezzana,1990-06-10T09:03:52
Too Hot Temperature,Low,Predazzo,1990-06-11T09:36:28
Solid Precipitation,Medium,Tenno,1990-06-11T20:18:28
Prolonged Low Precipitation,Critical,Trento,1990-06-11T22:03:58
Reduced Visibility,Critical,Rovereto,1990-06-13T12:26:51
Too Cold Temperature,Critical,Povo,1990-06-13T01:48:34
Prolonged Low Precipitation,Critical,Mezzana,1990-06-13T03:53:53
Too Cold Temperature,Critical,Telve,1990-06-14T14:16:42
Too Cold Temperature,Medium,Rovereto,1990-06-15T17:52:17
Excessive Wind,High,Cavalese,1990-06-16T17:39:34
Solid Precipitation,Medium,Telve,1990-06-16T20:16:46
Too Cold Temperature,Critical,Cavalese,1990-06-18T04:46:20
Prolonged Low Precipitation,Low,Predazzo,1990-06-19T01:57:51
Too Cold Temperature,Critical,Telve,1990-06-19T07:52:46
Excessive Wind,High,Telve,1990-06-21T21:33:10
Excessive Wind,Low,Arco,1990-06-21T08:27:26
Too Cold Temperature,Low,Telve,1990-06-22T13:40:31
Excessive Wind,Critical,Rovereto,1990-06-22T12:15:15
Reduced Visibility,Critical,Cavalese,1990-06-22T21:20:18
Too Cold Temperature,Critical,Predazzo,1990-06-23T06:58:06
Prolonged Low Precipitation,High,Lavarone,1990-06-23T21:29:10
Excessive Wind,Critical,Tenno,1990-06-23T17:24:18
Excessive Wind,Critical,Rovereto,1990-06-24T14:14:37
Solid Precipitation,Medium,Cavalese,1990-06-24T15:01:38
Prolonged Low Precipitation,Critical,Telve,1990-06-24T21:11:26
Excessive Wind,Medium,Telve,1990-06-25T02:05:41
Prolonged Low Precipitation,Low,Mezzana,1990-06-25T00:01:20
Prolonged Low Precipitation,High,Predazzo,1990-06-25T04:45:52
Excessive Precipitation,High,Predazzo,1990-06-26T07:26:07
Excessive Wind,Medium,Telve,1990-06-28T00:03:44
Reduced Visibility,High,Telve,1990-06-28T07:52:20
Too Cold Temperature,Critical,Telve,1990-06-28T18:19:36
Reduced Visibility,Low,Rovereto,1990-07-01T20:18:36
Excessive Precipitation,High,Cavalese,1990-07-01T13:18:58
Reduced Visibility,Medium,Lavarone,1990-07-01T20:41:10
Excessive Wind,Low,Arco,1990-07-02T10:38:26
Reduced Visibility,Low,Predazzo,1990-07-02T08:11:17
Prolonged Low Precipitation,Low,Trento,1990-07-02T05:23:18
Reduced Visibility,Medium,Arco,1990-07-03T12:09:41
Too Cold Temperature,High,Trento,1990-07-05T12:45:17
Excessive Wind,Low,Telve,1990-07-05T07:33:12
Excessive Wind,Critical,Tenno,1990-07-05T20:05:12
Too Hot Temperature,High,Arco,1990-07-06T03:22:59
Too Cold Temperature,High,Telve,1990-07-06T22:14:56
Solid Precipitation,Critical,Rovereto,1990-07-07T23:16:39
Prolonged Low Precipitation,Critical,Povo,1990-07-07T04:23:48
Too Hot Temperature,Medium,Trento,1990-07-07T00:23:28
Solid Precipitation,High,Rovereto,1990-07-08T18:11:22
Too Hot Temperature,Critical,Arco,1990-07-09T13:21:10
Too Cold Temperature,Medium,Predazzo,1990-07-09T10:10:57
Too Hot Temperature,Low,Mezzana,1990-07-09T13:02:00
Excessive Wind,Medium,Rovereto,1990-07-11T05:57:39
Excessive Precipitation,Medium,Mezzana,1990-07-13T09:09:31
Solid Precipitation,Critical,Predazzo,1990-07-13T00:15:00
Excessive Precipitation,High,Lavarone,1990-07-13T19:51:26
Reduced Visibility,Medium,Mezzana,1990-07-14T23:39:51
Reduced Visibility,Medium,Trento,1990-07-14T04:27:40
Solid Precipitation,High,Arco,1990-07-15T22:38:38
Solid Precipitation,Critical,Trento,1990-07-16T09:36:06
Excessive Wind,Low,Rovereto,1990-07-16T03:13:32
Excessive Precipitation,Low,Cavalese,1990-07-16T02:20:32
Reduced Visibility,Low,Povo,1990-07-17T14:33:44
Prolonged Low Precipitation,High,Cavalese,1990-07-17T14:48:18
Solid Precipitation,Low,Povo,1990-07-17T08:01:44
Excessive Wind,High,Cavalese,1990-07-18T06:49:58
Too Cold Temperature,Critical,Mezzana,1990-07-18T05:44:46
Too Hot Temperature,Low,Predazzo,1990-07-20T09:31:05
Reduced Visibility,High,Arco,1990-07-20T07:52:08
Prolonged Low Precipitation,Medium,Trento,1990-07-21T10:17:10
Reduced Visibility,Medium,Povo,1990-07-21T11:12:40
Prolonged Low Precipitation,Medium,Cavalese,1990-07-21T01:34:08
Solid Precipitation,Low,Arco,1990-07-22T05:39:08
Prolonged Low Precipitation,Medium,Arco,1990-07-22T18:42:19
Excessive Precipitation,Low,Rovereto,1990-07-22T08:01:51
Prolonged Low Precipitation,Critical,Telve,1990-07-23T11:05:52
Prolonged Low Precipitation,High,Tenno,1990-07-23T03:40:49
Too Cold Temperature,Critical,Telve,1990-07-25T16:31:44
Solid Precipitation,High,Povo,1990-07-25T14:15:33
Solid Precipitation,High,Trento,1990-07-25T16:18:11
Excessive Wind,Low,Povo,1990-07-27T10:35:25
Prolonged Low Precipitation,Critical,Tenno,1990-07-28T05:56:36
Prolonged Low Precipitation,Medium,Mezzana,1990-07-28T08:28:53
Reduced Visibility,Low,Mezzana,1990-07-29T13:40:10
Solid Precipitation,Critical,Telve,1990-07-29T20:18:08
Solid Precipitation,Critical,Predazzo,1990-07-29T23:55:50
Too Cold Temperature,Critical,Tenno,1990-07-30T23:15:34
Prolonged Low Precipitation,Low,Mezzana,1990-07-31T13:33:25
Excessive Precipitation,Low,Cavalese,1990-07-31T14:12:01
Excessive Precipitation,Medium,Telve,1990-07-31T22:54:30
Prolonged Low Precipitation,Medium,Predazzo,1990-08-01T06:54:36
Solid Precipitation,Medium,Tenno,1990-08-02T05:13:40
Solid Precipitation,Low,Arco,1990-08-03T15:00:39
Solid Precipitation,Medium,Mezzana,1990-08-04T17:29:14
Excessive Wind,High,Cavalese,1990-08-04T13:03:09
Excessive Wind,Medium,Lavarone,1990-08-04T20:48:44
Prolonged Low Precipitation,Medium,Rovereto,1990-08-06T18:48:17
Solid Precipitation,Low,Predazzo,1990-08-07T12:08:32
Prolonged Low Precipitation,Medium,Lavarone,1990-08-07T05:00:41
Too Cold Temperature,Low,Predazzo,1990-08-07T13:23:00
Solid Precipitation,High,Trento,1990-08-08T07:03:02
Too Hot Temperature,Medium,Lavarone,1990-08-08T23:48:22
Excessive Wind,Low,Rovereto,1990-08-08T01:58:32
Solid Precipitation,Critical,Predazzo,1990-08-09T13:52:03
Excessive Precipitation,Medium,Rovereto,1990-08-09T04:56:19
Excessive Precipitation,Low,Trento,1990-08-12T10:10:08
Excessive Precipitation,Medium,Tenno,1990-08-12T17:35:49
Excessive Precipitation,Medium,Cavalese,1990-08-13T19:25:43
Solid Precipitation,Critical,Telve,1990-08-13T14:37:26
Excessive Wind,Medium,Telve,1990-08-14T15:44:02
Too Hot Temperature,Low,Mezzana,1990-08-16T23:45:26
Excessive Precipitation,Medium,Telve,1990-08-16T00:58:57
Too Cold Temperature,Medium,Povo,1990-08-16T10:16:31
Too Cold Temperature,Low,Tenno,1990-08-18T19:05:21
Solid Precipitation,Medium,Trento,1990-08-18T17:35:56
Too Hot Temperature,Low,Cavalese,1990-08-18T01:16:00
Prolonged Low Precipitation,Critical,Rovereto,1990-08-19T14:48:14
Prolonged Low Precipitation,High,Lavarone,1990-08-19T15:39:08
Reduced Visibility,Medium,Povo,1990-08-20T04:49:13
Solid Precipitation,Critical,Povo,1990-08-20T15:46:59
Reduced Visibility,High,Mezzana,1990-08-20T18:55:30
Solid Precipitation,Medium,Povo,1990-08-22T16:47:59
Too Cold Temperature,Critical,Tenno,1990-08-23T08:55:17
Excessive Precipitation,High,Arco,1990-08-23T19:00:03
Reduced Visibility,High,Rovereto,1990-08-23T01:12:45
Excessive Wind,Critical,Telve,1990-08-24T07:45:09
Reduced Visibility,High,Povo,1990-08-24T15:14:11
Too Hot Temperature,High,Predazzo,1990-08-25T07:48:14
Excessive Precipitation,Critical,Mezzana,1990-08-25T00:11:14
Too Hot Temperature,Critical,Rovereto,1990-08-26T21:24:31
Reduced Visibility,Medium,Mezzana,1990-08-26T09:07:20
Prolonged Low Precipitation,Medium,Mezzana,1990-08-27T15:37:40
Excessive Wind,Critical,Predazzo,1990-08-27T16:07:23
Too Hot Temperature,Medium,Mezzana,1990-08-28T01:01:54
Reduced Visibility,Low,Povo,1990-08-28T11:55:31
Too Cold Temperature,Critical,Povo,1990-08-28T12:16:10
Prolonged Low Precipitation,Critical,Povo,1990-08-29T14:03:00
Reduced Visibility,Critical,Arco,1990-08-30T02:35:53
Excessive Wind,Medium,Cavalese,1990-08-30T06:57:06
Solid Precipitation,Critical,Povo,1990-08-31T20:23:16
Excessive Wind,Low,Telve,1990-08-31T20:31:51
Too Hot Temperature,Critical,Cavalese,1990-08-31T01:21:52
Excessive Wind,Medium,Trento,1990-09-01T17:18:38
Prolonged Low Precipitation,High,Telve,1990-09-01T15:14:22
Reduced Visibility,Medium,Mezzana,1990-09-01T08:49:51
Prolonged Low Precipitation,High,Rovereto,1990-09-02T10:31:14
Excessive Wind,Low,Mezzana,1990-09-02T15:05:14
Excessive Precipitation,Critical,Povo,1990-09-02T20:13:21
Solid Precipitation,Low,Trento,1990-09-05T07:21:52
Reduced Visibility,Low,Trento,1990-09-05T17:18:17
Prolonged Low Precipitation,Critical,Povo,1990-09-05T21:51:06
Excessive Wind,High,Trento,1990-09-06T15:45:55
Too Cold Temperature,Critical,Cavalese,1990-09-06T06:24:57
Solid Precipitation,Medium,Povo,1990-09-07T04:56:00
Prolonged Low Precipitation,Critical,Rovereto,1990-09-07T12:55:47
Prolonged Low Precipitation,Medium,Mezzana,1990-09-08T18:27:13
Reduced Visibility,High,Rovereto,1990-09-08T19:39:02
Too Hot Temperature,High,Rovereto,1990-09-08T02:37:19
Too Cold Temperature,Medium,Lavarone,1990-09-09T17:19:33
Too Hot Temperature,Critical,Tenno,1990-09-09T03:22:51
Prolonged Low Precipitation,Low,Predazzo,1990-09-10T15:43:55
Prolonged Low Precipitation,High,Telve,1990-09-11T04:54:16
Too Cold Temperature,Critical,Povo,1990-09-12T17:56:44
Solid Precipitation,Critical,Arco,1990-09-12T23:57:01
Prolonged Low Precipitation,Low,Rovereto,1990-09-13T17:39:13
Prolonged Low Precipitation,Critical,Tenno,1990-09-14T23:05:13
Reduced Visibility,High,Trento,1990-09-14T01:58:01
Reduced Visibility,Critical,Lavarone,1990-09-15T19:36:02
Reduced Visibility,Medium,Trento,1990-09-16T22:00:59
Excessive Wind,Critical,Mezzana,1990-09-16T07:51:14
Excessive Wind,Medium,Telve,1990-09-16T04:19:46
Prolonged Low Precipitation,Medium,Lavarone,1990-09-17T17:55:29
Solid Precipitation,Medium,Mezzana,1990-09-19T20:27:53
Prolonged Low Precipitation,Low,Lavarone,1990-09-19T20:27:42
Prolonged Low Precipitation,Critical,Cavalese,1990-09-20T00:18:31
Reduced Visibility,Critical,Arco,1990-09-20T22:05:32
Solid Precipitation,Low,Lavarone,1990-09-20T10:36:12
Excessive Precipitation,Low,Trento,1990-09-22T18:53:25
Too Cold Temperature,Critical,Predazzo,1990-09-22T20:19:09
Excessive Wind,Low,Trento,1990-09-22T23:48:08
